1、“八一”六十载　　猜一个字	答案是：亲
2、“七一”直抵花城　　猜一个字	答案是：库
3、“十三大”，改革之会，团结之会　　猜一个字	答案是：奉
4、“十一”双方皆怀念　　猜一个字	答案是：喜
5、“文昭关”选段　　猜一个字	答案是：音
6、“五一”厂里放影片　　猜一个字	答案是：彦
7、“五一”前夕何宽松　　猜一个字	答案是：衙
8、“西出阳关无故人”　　猜一个字	答案是：笙
9、“小”字加一撇，不作“少”字猜　　猜一个字	答案是：赤
10、《人生》上下集　　猜一个字	答案是：佧
11、20-2　　猜一个字	答案是：槎
12、３＋８　　猜一个字	答案是：秸
13、７８．３　　猜一个字	答案是：柒
14、阿里山小吃　　猜一个字	答案是：饴
15、爱将余热献光明　　猜一个字	答案是：熹
16、爱心几度付流水　　猜一个字	答案是：沉
17、爱心寄与笔底情　　猜一个字	答案是：写
18、爱友别离又相聚　　猜一个字	答案是：受
19、安敢裙钗换男装　　猜一个字	答案是：宁
20、安危抛脑后　　猜一个字	答案是：脆
21、安下心来读书　　猜一个字	答案是：今
22、安心度日　　猜一个字	答案是：宴
23、安心平凡工作　　猜一个字	答案是：恐
24、安心只为翻了身　　猜一个字	答案是：总
25、安阳风光　　猜一个字	答案是：京
26、安阳会子　　猜一个字	答案是：鼹
27、安阳即景　　猜一个字	答案是：京
28、俺大人不在　　猜一个字	答案是：电
29、岸　　猜一个字	答案是：滂
30、八尺龙头　　猜一个字	答案是：咫
31、八尺龙须　　猜一个字	答案是：荨
32、八达岭　　猜一个字	答案是：兵
33、八方归心　　猜一个字	答案是：总
34、八方援助受灾人　　猜一个字	答案是：熔
35、八方支援前线　　猜一个字	答案是：织
36、八哥　　猜一个字	答案是：兑
37、八哥的传说　　猜一个字	答案是：言
38、八哥偏心　　猜一个字	答案是：悦
39、八哥守门　　猜一个字	答案是：阅
40、八哥学舌　　猜一个字	答案是：说
41、八卦山之春　　猜一个字	答案是：根
42、八角楼旁水相连　　猜一个字	答案是：淞
43、八戒大怒　　猜一个字	答案是：氦
44、八戒行者随长老　　猜一个字	答案是：狮
45、八九不离十　　猜一个字	答案是：杂
46、八九不离十　　猜一个字	答案是：杂
47、八九点钟的太阳　　猜一个字	答案是：晨
48、八君子　　猜一个字	答案是：羌
49、八骏随天子　　猜一个字	答案是：玛
50、八连战士　　猜一个字	答案是：丘
51、八千里峰峦横隔，三十年心系故乡　　猜一个字	答案是：秉 憧
52、八千子弟兵　　猜一个字	答案是：翠
53、八千子弟兵　　猜一个字	答案是：翠
54、八声甘州　　猜一个字	答案是：箫
55、八十八　　猜一个字	答案是：米
56、八兄弟同赏月　　猜一个字	答案是：脱
57、八一纪念　　猜一个字	答案是：艽
58、八一南昌迎朝阳　　猜一个字	答案是：旭
59、八一起义　　猜一个字	答案是：交
60、八一起义军旗飘　　猜一个字	答案是：郊
61、八一下加二　　猜一个字	答案是：兰
62、八月二十三聚会　　猜一个字	答案是：期
63、八月十五　　猜一个字	答案是：钟
64、八月天气帝王相　　猜一个字	答案是：朕
65、八月珠桥江水流　　猜一个字	答案是：腔
66、八字桥头水平流　　猜一个字	答案是：兴
67、巴山夜雨涨秋池　　猜一个字	答案是：洲
68、巴蜀乡音　　猜一个字	答案是：训
69、跋前序后　　猜一个字	答案是：政
70、霸王自刎　　猜一个字	答案是：翠
71、白帝城　　猜一个字	答案是：谅
72、白帝城　　猜一个字	答案是：谅
73、白帝城　　猜一个字	答案是：谅
74、白帆半挂依疏柳　　猜一个字	答案是：棉
75、白帆一片桅边悬　　猜一个字	答案是：棉
76、白鸡　　猜一个字	答案是：酝
77、白马河边　　猜一个字	答案是：浒
78、白前当归木耳　　猜一个字	答案是：香
79、白日依山尽　　猜一个字	答案是：谟
80、白首逢春又一年　　猜一个字	答案是：秽
81、白首同归　　猜一个字	答案是：伺
82、白首偕老同心结　　猜一个字	答案是：恬
83、白首雄心向未来　　猜一个字	答案是：侏
84、白首一先生　　猜一个字	答案是：百
85、白头，掉尾格　　猜一个字	答案是：舌
86、白头到老记前情　　猜一个字	答案是：恬
87、白头到老一甲子　　猜一个字	答案是：辞
88、白头的我　　猜一个字	答案是：矛
89、白头老干心不老　　猜一个字	答案是：忏
90、白头翁　　猜一个字	答案是：讼
91、白头翁年届古稀　　猜一个字	答案是：鸨
92、白头偕老一直长相安　　猜一个字	答案是：佬
93、白头雄心四化志　　猜一个字	答案是：德
94、白头雄心志不移　　猜一个字	答案是：恁
95、白头雄心志不移　　猜一个字	答案是：恁
96、白头致仕二十载　　猜一个字	答案是：荏
97、白玉无瑕　　猜一个字	答案是：皇
98、白云出岫挂两边　　猜一个字	答案是：抽
99、白云深处僧寺残　　猜一个字	答案是：储
100、百分之九十九　　猜一个字	答案是：金
101、百花头上梅初开　　猜一个字	答案是：晦
102、百姓有盼头　　猜一个字	答案是：眠
103、摆脱困境获生机　　猜一个字	答案是：几
104、办法归纳共五点　　猜一个字	答案是：劫
105、半部《包公案》　　猜一个字	答案是：构
106、半窗残月　　猜一个字	答案是：穹
107、半窗残月有蛩声　　猜一个字	答案是：穹
108、半打啤酒　　猜一个字	答案是：河
109、半堆成品　　猜一个字	答案是：哉
110、半耕半读　　猜一个字	答案是：讲
111、半钩明月钓清溪　　猜一个字	答案是：心
112、半价出售　　猜一个字	答案是：催
113、半江帆影波底月　　猜一个字	答案是：恐
114、半角荷池人独立，还将分泪哭残花　　猜一个字	答案是：莅
115、半帘春色系中原　　猜一个字	答案是：棉
116、半帘灯焰暗　　猜一个字	答案是：宁
117、半林黄叶露秋色　　猜一个字	答案是：楮
118、半路出家　　猜一个字	答案是：阁
119、半绿草色半蓝天　　猜一个字	答案是：蕴
120、半青半黄半 收成　　猜一个字	答案是：散
121、半是毁誉半奉承　　猜一个字	答案是：举
122、半是毁誉半奉承　　猜一个字	答案是：恪
123、半是苦涩半是腥　　猜一个字	答案是：湖
124、半疏绿竹西归见　　猜一个字	答案是：缆
125、半仙站野外　　猜一个字	答案是：僮
126、半写江村对愁眉　　猜一个字	答案是：深
127、半掩村桥半拂溪　　猜一个字	答案是：淋
128、半遮香扇下东楼　　猜一个字	答案是：榻
129、浜　　猜一个字	答案是：淬
130、包公案上下集　　猜一个字	答案是：构
131、包龙图上场　　猜一个字	答案是：黜
132、包头残花落叶末　　猜一个字	答案是：苟
133、宝岛姑娘　　猜一个字	答案是：始
134、宝盖头　　猜一个字	答案是：实
135、宝玉出走，云香私奔　　猜一个字	答案是：宣
136、杯中蛇影　　猜一个字	答案是：弛
137、北定中原人归一统　　猜一个字	答案是：宿
138、北斗半隐现，日月背不明　　猜一个字	答案是：脂
139、北斗挂城边　　猜一个字	答案是：戥
140、北斗阑干映千帆　　猜一个字	答案是：悉
141、北国之春　　猜一个字	答案是：槊
142、北市买长鞭　　猜一个字	答案是：广
143、北宋亡泪两行　　猜一个字	答案是：湘
144、本厂定点生产木偶　　猜一个字	答案是：麻
145、匕首文章　　猜一个字	答案是：刘
146、必　　猜一个字	答案是：忍
147、必定环环不落空　　猜一个字	答案是：瑟
148、必由之路路必行　　猜一个字	答案是：迪
149、毕业之后　　猜一个字	答案是：土
150、毕业之后到浦东　　猜一个字	答案是：埔
151、毕业之后到上海　　猜一个字	答案是：坤
152、边草无穷日暮　　猜一个字	答案是：大
153、边城同心念归人　　猜一个字	答案是：塔
154、边防战士的职责　　猜一个字	答案是：堡
155、边行边拾　　猜一个字	答案是：趣
156、边整边改　　猜一个字	答案是：政
157、编　　猜一个字	答案是：笨
158、变化　　猜一个字	答案是：仑
159、变项　　猜一个字	答案是：贡
160、表里如一　　猜一个字	答案是：田
161、冰　　猜一个字	答案是：涸
162、并非如此　　猜一个字	答案是：丰
163、病从口入　　猜一个字	答案是：痴
164、波及厂内外　　猜一个字	答案是：疲
165、捕鱼为业　　猜一个字	答案是：衡
166、不到黄昏梦未成　　猜一个字	答案是：林
167、不得到辽西　　猜一个字	答案是：还
168、不负前言　　猜一个字	答案是：证
169、不改初衷　　猜一个字	答案是：愿
170、不干了　　猜一个字	答案是：摆
171、不公不私　　猜一个字	答案是：么
172、不顾白头要进取　　猜一个字	答案是：最
173、不顾白头要进取　　猜一个字	答案是：最
174、不过十年　　猜一个字	答案是：蚴
175、不计个人得失　　猜一个字	答案是：佚
176、不记个人得失　　猜一个字	答案是：佚
177、不见有孤舟　　猜一个字	答案是：舰
178、不拘一格　　猜一个字	答案是：呸
179、不留一手却不容易　　猜一个字	答案是：摊
180、不留一手却不容易　　猜一个字	答案是：摊
181、不落的太阳　　猜一个字	答案是：昶
182、不能细也　　猜一个字	答案是：奇
183、不胜惶恐　　猜一个字	答案是：懒
184、不受尘埃半点侵　　猜一个字	答案是：社
185、不闻不问　　猜一个字	答案是：踯
186、不咸不淡　　猜一个字	答案是：哈
187、不言而喻　　猜一个字	答案是：皆
188、不要开口闭口总是钱　　猜一个字	答案是：钜
189、不夜天　　猜一个字	答案是：昶
190、不翼而飞　　猜一个字	答案是：丁
191、不重生男重生女　　猜一个字	答案是：呵
192、不准抽烟　　猜一个字	答案是：趿
193、布下星星火　　猜一个字	答案是：人
194、步调一致　　猜一个字	答案是：跻
195、步卒五千　　猜一个字	答案是：筛
196、部位相反　　猜一个字	答案是：陪
197、猜着一半　　猜一个字	答案是：睛
198、才始送春归　　猜一个字	答案是：材
199、才下眉头，却上心头　　猜一个字	答案是：自
200、残兵　　猜一个字	答案是：乒
201、残茶剩饭　　猜一个字	答案是：板
202、残花落叶　　猜一个字	答案是：哗
203、残花片片落空庭　　猜一个字	答案是：庇
204、残花片片如飞雪　　猜一个字	答案是：皆
205、残花一片有余香　　猜一个字	答案是：旨
206、残阳如血　　猜一个字	答案是：郝
207、残叶翻飞落笔端　　猜一个字	答案是：毡
208、残月孤灯　　猜一个字	答案是：炙
209、残月挂樱桃　　猜一个字	答案是：名
210、残月照破衣　　猜一个字	答案是：夜
211、草上飞　　猜一个字	答案是：早
212、层峦叠翠　　猜一个字	答案是：茁
213、插话　　猜一个字	答案是：谤
214、拆了围墙　　猜一个字	答案是：韦
215、产后须补　　猜一个字	答案是：颜
216、产量上去了　　猜一个字	答案是：厘
217、产量最高　　猜一个字	答案是：音
218、产品实行三包　　猜一个字	答案是：晶
219、厂车一点到　　猜一个字	答案是：库
220、厂大一点人皆贺　　猜一个字	答案是：庆
221、厂方负责　　猜一个字	答案是：碛
222、厂方实行责任制　　猜一个字	答案是：炮
223、厂方专有　　猜一个字	答案是：砖
224、厂房摄影　　猜一个字	答案是：厢
225、厂靠翻身业　　猜一个字	答案是：严
226、厂里厂外老树连荫　　猜一个字	答案是：橱
227、厂里承包先抓点　　猜一个字	答案是：庖
228、厂里承包先抓点　　猜一个字	答案是：庖
229、厂里方便让别人　　猜一个字	答案是：硬
230、厂里搞点，乡下变样　　猜一个字	答案是：缠
231、厂里来了南方友人　　猜一个字	答案是：硼
232、厂里来人　　猜一个字	答案是：仄
233、厂里没借人　　猜一个字	答案是：厝
234、厂里求知点滴增　　猜一个字	答案是：痴
